id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6.08205E+17,Charming Historic New Orleans Home,95608031,Christie,,St. Claude,29.97042,-90.04826,Entire home/apt,72,30,5,23-08-2024,0.14,4,327,1,"22-CSTR-01566, 22-OSTR-01564"
6.08514E+17,3BR/2BA | 1 Mile to FQ | Private Patio,24875533,Jason,,Treme - Lafitte,29.97031,-90.07882,Entire home/apt,116,3,216,27-05-2025,5.84,2,83,49,"23-NSTR-01749, 23-OSTR-01752"
6.08681E+17,Bungalow Garden Retreat,18644379,Jennifer,,City Park,29.98022,-90.09144,Entire home/apt,,2,25,15-05-2025,0.86,1,0,18,"23-NSTR-16325, 23-OSTR-16293"
6.08851E+17,Gentilly Home minutes away from FQ,455092295,Jamika,,Dillard,29.99636,-90.06064,Entire home/apt,,30,6,18-07-2022,0.16,1,0,0,Exempt
6.09431E+17,"*Monthly rental* Cheerful 2-bed, 2-bath Uptown",177809180,Morgan,,West Riverside,29.91782,-90.10443,Entire home/apt,,30,2,31-07-2023,0.06,1,1,0,
6.10017E+17,~ 3 Mi to Bourbon Street: Historic NOLA Apartment,121682456,Evolve,,Broadmoor,29.94564,-90.09967,Entire home/apt,179,30,8,30-04-2023,0.22,7,364,0,"22-RSTR-02663, 22-OSTR-02661"
6.10107E+17,Condo in the heart of the Quarter!!,455361816,Stephen,,French Quarter,29.961447,-90.06562,Entire home/apt,49,30,6,31-05-2025,0.17,1,361,3,
6.10795E+17,New Orleans Studio 5 minutes away from FQ,11372242,Thiamanti,,Treme - Lafitte,29.97316,-90.07873,Entire home/apt,71,2,33,06-06-2025,0.88,44,76,8,"23-NSTR-18048, 23-OSTR-18046"
6.11085E+17,Private Studio in Bywater Wonderland,4880969,Stacy,,Bywater,29.96305804,-90.0415444,Private room,56,30,0,,,5,180,0,
6.11091E+17,Bywater Nook,4880969,Stacy,,Bywater,29.96222904,-90.04227166,Private room,33,30,0,,,5,180,0,
6.11634E+17,"Clean, Cozy, Quite, King Bed, French Quarter 2.8mi",253685497,Curtis,,Fairgrounds,29.98781013,-90.07849121,Entire home/apt,169,2,104,08-06-2025,3.32,1,240,37,"23-NSTR-15960, 23-OSTR-11653"
6.12064E+17,Luxury NOLA  2bedroom Villa!! Free Parking/WIFI!,126603754,Denita,,Dillard,30.00269,-90.06597,Entire home/apt,108,2,57,01-06-2025,1.66,1,88,16,"23-NSTR-13933, 23-OSTR-13277"
6.12328E+17,Historic Home Safest Area Near the Major Hotspots,455827734,Jake,,Mid-City,29.97443,-90.09809,Entire home/apt,,1,10,05-07-2022,0.27,6,0,0,"22-CSTR-13712, 22-OSTR-07055"
6.12859E+17,Lively Treme Shotgun House Near Everything!,19870425,Lesley,,Seventh Ward,29.972,-90.0648,Entire home/apt,75,2,14,19-05-2025,3.28,1,173,14,"25-NSTR-00967, 25-OSTR-00748"
6.1288E+17,Cheerful one bedroom in Mid-City,453317476,Jackie,,Bayou St. John,29.97029,-90.08674,Entire home/apt,69,3,59,19-05-2025,1.6,1,87,12,"23-NSTR-17292, 22-OSTR-10473"
6.13237E+17,Wonderful modern  home 🏡 that  welcomes you,122324353,Jacob,,Tall Timbers - Brechtel,29.89993,-89.99775,Entire home/apt,138,1,121,08-06-2025,3.4,1,341,44,"24-NSTR-11125, 22-OSTR-12385"
6.13237E+17,Stunning Newer Construction Home In Mid-City NOLA,30582943,Melissa,,Mid-City,29.96893,-90.09801,Entire home/apt,108,30,3,03-03-2025,0.11,8,269,1,"22-RSTR-30976, 22-OSTR-28490"
6.13254E+17,Gorgeous Newer Construction Home in Mid-City NOLA!,30582943,Melissa,,Mid-City,29.96686,-90.09783,Entire home/apt,108,30,5,27-02-2025,0.14,8,364,1,
6.13697E+17,The Garden District's Pied-à-Terre on Prytania | 4,456142473,Patti,,Touro,29.92623,-90.09004,Entire home/apt,,3,94,01-06-2025,2.48,1,298,22,"22-CSTR-06687, 22-OSTR-07285"
6.13859E+17,The Other Sweet Spot,227505133,Dan,,Little Woods,30.03225,-89.99599,Private room,67,30,0,,,3,270,0,
